# Created by Octave 4.0.0, Mon Apr 09 11:23:54 2018 MST <gesposito@rabbit>
# name: t2_hon
# type: matrix
# rows: 755
# columns: 2
 0.5103023300596968 0.1956376
 -0.06681301899398032 0.2107757
 -0.9874412807976235 0.2801858
 0.2719238613188318 0.218691
 0.03855421686747591 0.2222864
 0.6684103458296985 0.3360309
 -1.271721192117272 0.6716310999999999
 0.4209495839451713 0.3044257
 -1.324374330509299 0.3158637
 0.9483354736738059 0.3329405
 1.010001961168858 0.3230534
 -0.4564436243566076 0.2699991
 -0.3304821150855261 0.186599
 -0.0194269062651734 0.2105935
 -0.4987775061124744 0.2715924
 -0.6301693580149671 0.3128752
 0.9255612445844799 0.2100208
 0.09758001561279694 0.2382783
 -0.9559110417479416 0.2214769
 -1.13558492413119 0.3834713
 0.3576751117734719 0.4487072
 -0.09782821365681307 0.3955189
 -0.2816080792386932 0.3380891
 0.4220651747153581 0.2481613
 1.299709020368577 0.4612028
 1.506770932672133 0.4946383
 0.1687447267272828 0.546821
 0.1125175808720022 0.3039502
 -0.5638567803777788 0.2502058
 0.2926737160120867 0.3377446
 0.07527286413247863 0.265973
 -0.329349769455156 0.145798
 -0.6350108994408129 0.218243
 0.2187351402757867 0.20917
 0.3227337446606582 0.2407204
 -1.194765787976475 0.2375774
 -0.1631008346925086 0.2152072
 0.5674713859767273 0.19546
 -0.01904761904761526 0.1517008
 -0.5560882070949169 0.2469631
 0.05787037037035885 0.1593901
 -0.4914715235617143 0.1472982
 0.2225878254137269 0.1524179
 0.4506232023010536 0.2103098
 -0.3135987836168376 0.1631752
 -0.3734201455381085 0.1249695
 0.2519868191509894 0.2869411
 0.8916456677650586 0.1816189
 -0.1724468288944171 0.2669161
 1.169590643274853 0.2227744
 0.1140467591712646 0.2782794
 -0.5004721435316346 0.2188899
 -0.4939209726443732 0.180924
 -0.6205250596658766 0.2298884
 -1.627486437613014 0.1449591
 -0.183167839583532 0.211452
 -1.049256776450027 0.2139317
 -0.6817960455829384 0.2195484
 -0.1359487279083323 0.2171453
 -0.6108202443280932 0.1793136
 0.8669950738916212 0.2262461
 0.4100761570005875 0.2365298
 -1.009803921568629 0.2346225
 -1.114151681000769 0.2720726
 0.4118050789293085 0.2574428
 0.4161021869556731 0.1608582
 0.3470883146934048 0.1443184
 -0.2305918524212095 0.2735262
 -1.258461245113936 0.4628436
 0.5909264201296269 0.5442485
 0.6338694418164633 0.4522601
 -0.5847953216374179 0.3724364
 -0.5884586180713787 0.3127656
 -0.439015079213598 0.2369342
 -1.343956993376217 0.2803327
 -0.3529411764705877 0.3291338
 1.460564751703992 0.3928774
